Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,131.990005,134.000000,128.139999,128.240005,128.240005,880400
2022-09-22,127.720001,131.710007,126.559998,130.000000,130.000000,1038900
2022-09-23,127.839996,129.660004,126.800003,128.350006,128.350006,997000
2022-09-26,126.800003,132.500000,126.610001,127.650002,127.650002,1062300
2022-09-27,128.000000,133.410004,128.000000,130.300003,130.300003,994200
2022-09-28,129.669998,135.619995,129.669998,133.789993,133.789993,932600
2022-09-29,132.850006,135.309998,131.649994,133.600006,133.600006,632700
2022-09-30,133.029999,136.250000,133.029999,134.880005,134.880005,735100
2022-10-03,135.240005,138.199997,135.020004,136.679993,136.679993,497100
2022-10-04,139.080002,140.649994,136.660004,137.570007,137.570007,594200
2022-10-05,136.500000,138.559998,135.509995,137.190002,137.190002,508400
2022-10-06,135.630005,139.110001,135.630005,137.529999,137.529999,591400
2022-10-07,136.449997,138.000000,134.339996,134.710007,134.710007,767100
2022-10-10,134.729996,137.160004,133.100006,135.289993,135.289993,615300
2022-10-11,134.300003,135.119995,127.489998,129.490005,129.490005,641400
2022-10-12,133.889999,140.457993,133.460007,136.649994,136.649994,1167300
2022-10-13,133.649994,142.089996,132.098007,140.009995,140.009995,724300
2022-10-14,139.889999,140.449997,135.009995,135.619995,135.619995,489700
2022-10-17,137.199997,139.559998,134.199997,138.940002,138.940002,651400
2022-10-18,139.500000,139.500000,132.830002,133.679993,133.679993,859400
2022-10-19,131.850006,132.335007,122.389999,122.660004,122.660004,1181400
2022-10-20,122.629997,124.550003,118.309998,118.430000,118.430000,1083700
2022-10-21,122.000000,131.850006,121.139999,131.639999,131.639999,1623100
2022-10-24,130.630005,135.000000,128.320007,134.990005,134.990005,778000
2022-10-25,133.979996,139.880005,133.740005,135.270004,135.270004,707200
2022-10-26,135.199997,140.800003,134.979996,137.089996,137.089996,743800
2022-10-27,136.169998,136.449997,133.250000,135.580002,135.580002,465400
2022-10-28,134.550003,138.660004,133.500000,137.649994,137.649994,572200
2022-10-31,137.770004,141.000000,136.919998,137.639999,137.639999,751600
2022-11-01,143.889999,150.000000,141.130005,144.080002,144.080002,945000
2022-11-02,143.899994,145.679993,140.539993,141.520004,141.520004,591500
2022-11-03,134.500000,145.490005,133.949997,145.250000,145.250000,1120100
2022-11-04,156.289993,156.800003,147.350006,154.309998,154.309998,2179200
2022-11-07,152.770004,161.539993,150.251007,160.720001,160.720001,2009800
2022-11-08,157.279999,163.339996,156.589996,160.940002,160.940002,895800
2022-11-09,158.550003,162.029999,158.550003,159.580002,159.580002,810600
2022-11-10,152.259995,157.250000,152.000000,156.919998,156.919998,1807400
2022-11-11,152.389999,155.014999,146.789993,154.509995,154.509995,1481000
2022-11-14,152.029999,161.740005,152.029999,160.369995,160.369995,1267800
2022-11-15,161.000000,164.809998,160.300003,163.729996,163.729996,940300
2022-11-16,163.899994,167.080002,163.309998,164.899994,164.899994,864200
2022-11-17,162.509995,166.339996,159.369995,166.259995,166.259995,557100
2022-11-18,165.770004,167.065002,164.544998,166.389999,166.389999,647100
2022-11-21,163.089996,165.035004,158.119995,158.410004,158.410004,800300
2022-11-22,154.979996,159.130005,151.500000,158.729996,158.729996,1032700
2022-11-23,157.500000,158.759995,155.089996,156.229996,156.229996,606200
2022-11-25,155.210007,157.119995,154.110001,154.850006,154.850006,348300
2022-11-28,157.000000,166.410004,156.509995,161.490005,161.490005,1214800
2022-11-29,162.110001,165.509995,159.419998,163.610001,163.610001,935500
2022-11-30,164.309998,167.292999,163.199997,167.020004,167.020004,1062100
2022-12-01,167.509995,170.380005,165.169998,169.470001,169.470001,759200
2022-12-02,167.110001,169.889999,166.699997,169.740005,169.740005,721300
2022-12-05,168.460007,171.360001,165.360001,166.710007,166.710007,989800
2022-12-06,166.000000,166.000000,158.360001,161.619995,161.619995,1167100
2022-12-07,159.559998,165.970001,159.509995,162.630005,162.630005,600100
2022-12-08,163.229996,171.899994,162.384995,171.809998,171.809998,1158900
2022-12-09,171.720001,173.000000,169.289993,170.300003,170.300003,819700
2022-12-12,171.190002,171.279999,164.809998,166.619995,166.619995,1111800
2022-12-13,174.250000,183.440002,172.610001,178.240005,178.240005,2030500
2022-12-14,176.889999,188.815002,174.330002,186.050003,186.050003,2011100
2022-12-15,186.289993,188.985001,179.227005,182.039993,182.039993,1577100
2022-12-16,178.699997,183.639999,174.839996,175.250000,175.250000,883100
2022-12-19,175.960007,177.750000,167.699997,168.559998,168.559998,927700
2022-12-20,166.250000,174.990005,165.500000,172.699997,172.699997,680000
2022-12-21,172.600006,178.619995,170.990005,178.149994,178.149994,819400
2022-12-22,177.229996,180.399994,174.110001,179.880005,179.880005,777300
2022-12-23,179.679993,179.979996,173.106003,175.970001,175.970001,760100
2022-12-27,175.759995,176.669998,159.470001,159.860001,159.860001,1286300
2022-12-28,157.850006,159.261002,151.699997,151.699997,151.699997,960000
2022-12-29,152.970001,156.244003,152.699997,153.110001,153.110001,573400
2022-12-30,150.449997,151.000000,146.000000,150.220001,150.220001,934900
2023-01-03,152.940002,155.294998,148.500000,148.649994,148.649994,739000
2023-01-04,149.970001,150.574997,145.755005,146.130005,146.130005,938800
2023-01-05,145.100006,146.399994,143.600006,145.669998,145.669998,856500
2023-01-06,148.500000,156.274994,145.229996,150.089996,150.089996,1068000
2023-01-09,152.220001,153.199997,148.567001,148.759995,148.759995,568000
2023-01-10,150.029999,154.240005,149.309998,153.669998,153.669998,678200
2023-01-11,153.619995,153.990005,146.774994,149.610001,149.610001,750200
2023-01-12,149.350006,149.919998,146.250000,149.410004,149.410004,416200
2023-01-13,149.500000,150.634995,142.089996,145.050003,145.050003,1287100
2023-01-17,145.000000,145.500000,140.910004,143.199997,143.199997,1160300
2023-01-18,145.830002,147.679993,142.820007,143.089996,143.089996,724900
2023-01-19,143.000000,144.108002,139.660004,139.940002,139.940002,1040400
2023-01-20,141.000000,143.410004,139.050003,142.789993,142.789993,1125400
2023-01-23,142.330002,144.929993,141.791000,143.729996,143.729996,725000
2023-01-24,143.279999,144.369995,140.699997,143.850006,143.850006,504000
2023-01-25,143.050003,144.690002,141.625000,142.729996,142.729996,580600
2023-01-26,143.000000,143.889999,140.330002,142.539993,142.539993,531200
2023-01-27,141.479996,143.940002,140.957001,143.660004,143.660004,436600
2023-01-30,142.479996,143.020004,139.500000,140.490005,140.490005,680800
2023-01-31,138.050003,144.729996,138.050003,143.410004,143.410004,1248600
