Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,8.863000,9.324000,8.601000,8.632000,8.362447,41002940
2022-09-26,8.512000,8.648000,7.461000,7.646000,7.407237,73234616
2022-10-03,7.456000,8.140000,7.249000,7.822000,7.577741,53522764
2022-10-10,7.765000,8.807000,7.596000,8.611000,8.342102,68274029
2022-10-17,8.643000,9.012000,8.498000,8.896000,8.618202,58195792
2022-10-24,9.000000,9.910000,8.925000,9.826000,9.519161,66409500
2022-10-31,9.850000,9.892000,9.586000,9.726000,9.422284,40395793
2022-11-07,9.661000,10.318000,9.593000,10.218000,9.898921,51161814
2022-11-14,10.214000,10.428000,9.946000,10.212000,9.893107,44628996
2022-11-21,10.150000,10.616000,10.130000,10.390000,10.065550,32405038
2022-11-28,10.302000,10.348000,9.832000,10.024000,9.710979,35505595
2022-12-05,10.180000,10.298000,9.923000,10.140000,9.823357,35488546
2022-12-12,10.086000,10.294000,9.679000,9.905000,9.595694,51515082
2022-12-19,9.900000,10.788000,9.858000,10.706000,10.371681,39185809
2022-12-26,10.706000,10.786000,10.558000,10.588000,10.257366,13918256
2023-01-02,10.640000,11.740000,10.640000,11.596000,11.233889,48297175
2023-01-09,11.602000,11.878000,11.514000,11.690000,11.324953,38999931
2023-01-16,11.766000,12.086000,11.630000,11.982000,11.607836,42353771
2023-01-23,12.022000,12.140000,11.512000,12.132000,11.753151,32456372
2023-01-30,12.314000,12.362000,11.314000,11.530000,11.169950,86244104
2023-02-06,11.420000,11.816000,11.182000,11.338000,10.983946,43229176
2023-02-13,11.300000,12.064000,11.294000,11.880000,11.509021,54273857
2023-02-20,11.920000,11.922000,11.266000,11.294000,10.941319,34831652
2023-02-27,11.390000,11.878000,11.366000,11.668000,11.303641,38143253
2023-03-06,11.716000,11.790000,10.382000,10.668000,10.334868,61098104
2023-03-13,10.700000,10.778000,9.135000,9.334000,9.042524,146671162
2023-03-20,8.800000,9.990000,7.945000,8.540000,8.273319,185911015
2023-03-27,8.918000,9.412000,8.623000,9.356000,9.063838,93122074
2023-04-03,9.397000,9.700000,9.217000,9.456000,9.160716,40960635
2023-04-10,9.620000,9.982000,9.476000,9.954000,9.643165,30730046
2023-04-17,10.000000,10.218000,9.681000,9.895000,9.586007,50835958
2023-04-24,9.848000,9.998000,9.217000,9.943000,9.632507,63186532
2023-05-01,9.967000,10.064000,9.134000,9.665000,9.363189,40949542
2023-05-08,9.637000,9.872000,9.530000,9.616000,9.315719,34469682
2023-05-15,9.705000,9.888000,9.398000,9.780000,9.474597,46262625
2023-05-22,9.733000,9.919000,9.484000,9.742000,9.742000,28754191
2023-05-29,9.857000,9.885000,9.442000,9.862000,9.862000,39338266
2023-06-05,9.900000,9.993000,9.610000,9.843000,9.843000,33469255
2023-06-12,9.870000,10.064000,9.304000,9.509000,9.509000,71445430
2023-06-19,9.465000,9.566000,9.119000,9.165000,9.165000,42369960
2023-06-26,9.166000,9.694000,8.903000,9.618000,9.618000,40954144
2023-07-03,9.660000,9.791000,9.049000,9.276000,9.276000,40107699
2023-07-10,9.250000,9.882000,9.227000,9.610000,9.610000,55915824
2023-07-17,9.575000,10.256000,9.550000,10.198000,10.198000,57275359
2023-07-24,10.160000,10.708000,10.058000,10.112000,10.112000,72575114
2023-07-31,10.150000,10.182000,9.741000,10.058000,10.058000,42311725
2023-08-07,9.890000,10.116000,9.640000,9.941000,9.941000,38484354
2023-08-14,9.948000,10.042000,9.762000,9.870000,9.870000,30157435
2023-08-21,9.850000,10.008000,9.758000,9.896000,9.896000,29262486
2023-08-28,9.965000,10.380000,9.964000,10.084000,10.084000,39081715
2023-09-04,10.140000,10.172000,9.512000,9.652000,9.652000,46251993
2023-09-11,9.720000,10.396000,9.720000,10.250000,10.250000,63918714
2023-09-18,10.272000,10.320000,9.982000,10.150000,10.150000,21232634
